Easting,Northing,Elevation_m,Surface_cover
85126,33925,492,Grass
85126,33908,492,Grass
85132,33900,491,Grass
85132,33897,490,Grass
85133,33893,490,Grass
85135,33891,489,Grass
85136,33889,488,Grass
85137,33888,487,Grass
85138,33886,487,Grass
85138,33885,488,Grass
85139,33883,489,Moss
85140,33880,488,Longer Grass
85140,33877,487,Reeds + Marsh
85138,33874,485,Reeds + Marsh
85138,33870,484,Made ground
85140,33867,484,Made ground
85140,33865,482,Made ground
85142,33862,481,Made ground
85143,33857,480,Reeds
85144,33855,479,Reeds
85143,33851,478,Grass
85144,33848,478,Grass
85144,33845,477,Grass
85145,33844,478,Grass
85145,33842,477,Grass
85146,33837,476,Grass
85145,33832,475,ExposedDrift
85147,33830,475,SomeExposedBedrock
85147,33829,475,SomeExposedBedrock
85149,33827,474,Grass
85150,33825,474,Grass
85149,33824,474,Grass
85150,33823,473,Grass
85152,33818,473,River
85154,33817,473,Grass
85155,33812,474,Grass
85155,33811,474,Bedrock + Drift Exposed
85155,33810,474,Bedrock + Drift Exposed
85156,33807,475,Bedrock + Drift Exposed
85156,33806,475,Bedrock + Drift Exposed
85155,33804,475,Moss + Bedrock
85157,33803,476,Moss + Bedrock
85157,33802,476,Moss + Bedrock
85157,33799,476,Moss + Bedrock
85159,33797,475,Mining Waste
85158,33795,475,Mining Waste
85159,33794,475,Grass
85159,33792,475,Grass
85160,33790,476,Moss
85161,33791,477,Moss
85166,33790,478,Moss
85160,33788,478,Moss
85161,33787,478,Moss
85162,33786,479,Moss
85163,33785,480,Moss
85163,33784,480,Moss
85164,33782,481,Moss
,,,
85102,33924,482,Grass
85104,33923,482,Grass
85104,33921,481,Grass
85102,33915,480,Grass
85104,33912,482,Grass
85107,33910,482,Grass
85105,33908,483,Grass M
85110,33902,483,Grass M
85111,33896,481,Grass M
85113,33880,482,Grass M
85116,33873,481,Grass
85118,33862,479,Grass
85117,33871,478,Grass
85118,33858,477,Grass
85119,33857,474,Grass
85119,33854,475,Grass
85119,33852,473,Grass
85121,33849,473,Grass
85120,33847,471,Grass
85121,33846,473,Grass
85122,33843,471,Grass
85124,33837,470,Grass
85125,33831,470,Grass
85125,33828,469,Grass
85125,33822,467,"Grass, reeds"
85125,33821,467,"Grass, reeds"
85125,33820,466,"Grass, reeds"
85126,33818,466,"Grass, reeds"
85127,33815,467,"Grass, reeds"
85126,33812,468,"Grass, reeds"
85126,33809,467,"Grass, reeds"
85130,33805,467,"Grass, reeds"
85128,33804,467,"River, rocks, reeds"
85129,33800,467,"River, rocks"
85128,33799,469,River
85128,33799,466,River
85129,33796,467,Grass
85132,33791,469,Grass
85136,33790,473,Grass
85138,33788,474,Grass
,,,
85146,33933,486,Grass
85147,33931,481,Tuft Grass
85149,33927,482,Tuft Grass
85151,33924,485,Tuft Grass
85152,33924,484,Tuft Grass
85153,33911,485,Tuft grass
85152,33906,485,Reeds
85153,33901,485,Tuft Grass
85157,33891,481,Tuft Grass
85158,33815,482,Grass
85160,33880,480,Reeds
85160,33871,477,Grass
85162,33865,476,Grass
85164,33857,476,Grass
85165,33852,475,Grass
85165,33846,472,Reeds
85167,33844,469,Grass
85168,33840,470,None
85160,33837,470,None
85160,33836,469,None
85169,33831,468,Reeds
85169,33831,469,Grass
85171,33826,469,None
85172,33824,469,Grass
85171,33821,467,Grass
85175,33813,469,Grass
85176,33809,467,Grass
85177,33805,471,Grass
85178,33800,473,Grass
,,,
85169,33930,488,Lack of vegetation due to mining; gravel 
85172,33928,484,Lack of vegetation due to mining; gravel 
85171,33924,488,Grass
85173,33917,487,Moss
85175,33911,486,Grass
85175,33907,485,Reeds
85177,33901,484,Grass
85179,33892,484,Sphagnum moss coverage
85181,33888,484,Grass
85183,33882,482,Grass
85184,33874,481,Grass slope
85186,33866,482,Signs of cliff slumping from mining 
85188,33864,482,River 
